call_sign,latitude,longitude,speed,heading,timestamp
BOAT001,29.977762,120.995757,11.02,70.0,2025-06-01 03:00:00
BOAT001,30.025859,121.010943,7.99,194.6,2025-06-01 03:16:00
BOAT001,30.044542,121.04899,15.74,47.8,2025-06-01 03:29:00
BOAT001,30.078652,121.081605,11.56,185.9,2025-06-01 03:42:00
BOAT001,30.066305,121.083064,6.56,14.8,2025-06-01 04:01:00
BOAT001,30.086899,121.103693,12.11,158.0,2025-06-01 04:13:00
BOAT001,30.105456,121.14432,7.21,9.1,2025-06-01 04:27:00
BOAT001,30.117882,121.139875,12.5,29.1,2025-06-01 04:45:00
BOAT001,30.103593,121.149658,13.61,247.9,2025-06-01 04:56:00
BOAT001,30.194332,121.188787,7.68,62.4,2025-06-01 05:11:00
BOAT001,30.211134,121.189673,13.03,159.2,2025-06-01 05:26:00
BOAT001,30.183808,121.206929,11.38,33.8,2025-06-01 05:46:00
BOAT001,30.225205,121.259241,12.6,237.7,2025-06-01 05:56:00
BOAT001,30.238399,121.247408,15.83,229.8,2025-06-01 06:15:00
BOAT001,30.25866,121.219624,9.4,265.6,2025-06-01 06:30:00
BOAT001,30.249415,121.299118,7.88,220.2,2025-06-01 06:45:00
BOAT001,30.299099,121.303778,7.47,89.2,2025-06-01 06:58:00
BOAT001,30.343123,121.325386,7.69,272.8,2025-06-01 07:13:00
BOAT001,30.401839,121.359708,9.91,123.1,2025-06-01 07:26:00
BOAT001,30.378015,121.366809,11.16,16.6,2025-06-01 07:44:00
BOAT001,30.392055,121.393909,10.97,112.1,2025-06-01 07:56:00
BOAT001,30.398782,121.368645,12.62,253.3,2025-06-01 08:16:00
BOAT001,30.416566,121.40971,10.18,6.2,2025-06-01 08:29:00
BOAT001,30.467001,121.476131,14.5,177.0,2025-06-01 08:42:00
BOAT001,30.473353,121.467161,9.34,62.4,2025-06-01 08:59:00
BOAT001,30.474302,121.453543,18.3,233.9,2025-06-01 09:16:00
BOAT001,30.486062,121.485043,12.01,221.7,2025-06-01 09:27:00
BOAT001,30.522739,121.506122,7.57,319.2,2025-06-01 09:45:00
BOAT001,30.534782,121.547501,6.93,134.9,2025-06-01 09:59:00
BOAT001,30.564825,121.556283,11.59,336.0,2025-06-01 10:12:00
BOAT001,30.579827,121.571232,9.47,194.2,2025-06-01 10:26:00
BOAT001,30.611683,121.603975,12.28,58.7,2025-06-01 10:45:00
BOAT001,30.598074,121.632932,11.56,9.5,2025-06-01 10:57:00
BOAT001,30.664697,121.637677,9.92,288.3,2025-06-01 11:13:00
BOAT001,30.717904,121.650843,7.6,139.7,2025-06-01 11:29:00
BOAT001,30.705691,121.673388,5.59,46.3,2025-06-01 11:44:00
BOAT001,30.705671,121.708095,8.8,196.4,2025-06-01 12:00:00
BOAT001,30.738414,121.720632,12.71,225.3,2025-06-01 12:15:00
BOAT001,30.720078,121.755606,10.78,346.0,2025-06-01 12:26:00
BOAT001,30.728074,121.736744,6.4,74.4,2025-06-01 12:42:00
BOAT001,30.794695,121.763714,10.66,25.0,2025-06-01 13:00:00
BOAT001,30.787938,121.814164,11.29,6.6,2025-06-01 13:16:00
BOAT001,30.791248,121.802145,7.49,222.6,2025-06-01 13:28:00
BOAT001,30.820051,121.865343,10.6,236.1,2025-06-01 13:41:00
BOAT001,30.834532,121.885247,10.31,304.2,2025-06-01 14:00:00
BOAT001,30.879312,121.90447,6.71,122.6,2025-06-01 14:12:00
BOAT001,30.907746,121.878491,11.21,101.5,2025-06-01 14:28:00
BOAT001,30.933339,121.917122,11.82,249.4,2025-06-01 14:44:00
BOAT001,30.952952,121.925196,13.39,226.4,2025-06-01 14:57:00
BOAT001,30.969645,121.973009,13.3,14.1,2025-06-01 15:15:00
BOAT001,30.969883,122.008158,6.0,289.3,2025-06-01 15:26:00
BOAT001,30.981037,122.010978,7.32,197.3,2025-06-01 15:41:00
BOAT001,30.982824,122.01317,11.68,270.2,2025-06-01 16:00:00
BOAT001,31.05446,122.025157,11.68,356.6,2025-06-01 16:13:00
BOAT001,31.048393,122.06493,11.68,133.9,2025-06-01 16:29:00
BOAT001,31.063221,122.046971,21.7,202.3,2025-06-01 16:46:00
BOAT001,31.114503,122.101636,11.85,154.4,2025-06-01 16:59:00
BOAT001,31.092425,122.092096,13.54,266.4,2025-06-01 17:15:00
BOAT001,31.146566,122.142281,13.0,37.1,2025-06-01 17:28:00
BOAT001,31.155282,122.146132,12.09,192.4,2025-06-01 17:41:00
BOAT001,31.148075,122.161066,9.19,297.5,2025-06-01 17:59:00
BOAT001,31.186796,122.170601,12.41,107.1,2025-06-01 18:16:00
BOAT001,31.227251,122.200657,7.82,140.1,2025-06-01 18:28:00
BOAT001,31.243185,122.238395,9.43,345.1,2025-06-01 18:44:00
BOAT001,31.276662,122.26763,8.68,32.9,2025-06-01 18:58:00
BOAT001,31.272997,122.276763,10.38,342.0,2025-06-01 19:14:00
BOAT001,31.35316,122.312992,17.08,206.4,2025-06-01 19:29:00
BOAT001,31.286787,122.355978,4.54,33.0,2025-06-01 19:45:00
BOAT001,31.316703,122.318186,12.2,118.3,2025-06-01 19:59:00
BOAT001,31.342939,122.340039,5.3,76.6,2025-06-01 20:13:00
BOAT001,31.335261,122.334836,8.72,285.0,2025-06-01 20:30:00
BOAT001,31.403967,122.406931,13.4,40.8,2025-06-01 20:41:00
BOAT001,31.420668,122.428585,10.33,178.0,2025-06-01 21:00:00
BOAT001,31.422458,122.404735,6.9,197.8,2025-06-01 21:16:00
BOAT001,31.43087,122.453911,7.99,265.3,2025-06-01 21:30:00
BOAT001,31.431138,122.48538,12.18,126.3,2025-06-01 21:45:00
BOAT001,31.464734,122.485045,7.95,348.7,2025-06-01 21:57:00
BOAT001,31.514874,122.516948,10.79,274.1,2025-06-01 22:11:00
BOAT002,29.448713,121.988735,17.21,1.0,2025-06-01 00:56:00
BOAT002,29.562537,122.042849,18.35,214.4,2025-06-01 01:07:00
BOAT002,29.54143,122.012063,20.57,148.3,2025-06-01 01:27:00
BOAT002,29.631029,121.968392,19.38,38.4,2025-06-01 01:42:00
BOAT002,29.655369,121.991246,16.89,299.0,2025-06-01 01:56:00
BOAT002,29.704116,121.970822,20.67,147.1,2025-06-01 02:10:00
BOAT002,29.728657,121.95705,15.36,263.1,2025-06-01 02:26:00
BOAT002,29.782122,121.960497,17.29,73.8,2025-06-01 02:37:00
BOAT002,29.808023,121.937589,15.66,23.9,2025-06-01 02:54:00
BOAT002,29.846019,121.933378,19.7,17.3,2025-06-01 03:12:00
BOAT002,29.878881,121.937102,21.54,50.3,2025-06-01 03:26:00
BOAT002,29.967025,121.953747,18.64,270.2,2025-06-01 03:37:00
BOAT002,29.983529,121.909786,18.19,58.9,2025-06-01 03:55:00
BOAT002,30.020063,121.887749,15.34,67.1,2025-06-01 04:11:00
BOAT002,30.038044,121.848304,15.86,239.5,2025-06-01 04:24:00
BOAT002,30.090541,121.920178,14.39,326.8,2025-06-01 04:38:00
BOAT002,30.115176,121.867751,11.44,315.8,2025-06-01 04:52:00
